Model,Split,N,R²,RMSE,MAE,MedAE,MAPE%,Max_Error,Explained_Var
BPNN,Train,7000,0.9903,1.4084,1.1347,0.9653,2.38,5.181,0.9903
Random Forest,Train,7000,0.9968,0.8043,0.639,0.5447,1.35,3.2543,0.9968
XGBoost,Train,7000,0.9967,0.8138,0.6461,0.5368,1.32,2.8982,0.9967
Ensemble,Train,7000,0.9957,0.934,0.7549,0.6466,1.57,2.9944,0.9957
BPNN,Validation,1500,0.986,1.6612,1.3372,1.135,2.78,5.4981,0.986
Random Forest,Validation,1500,0.9807,1.9489,1.5594,1.3233,3.24,6.5328,0.9807
XGBoost,Validation,1500,0.9863,1.6414,1.3317,1.1703,2.76,4.797,0.9863
Ensemble,Validation,1500,0.9871,1.595,1.2962,1.125,2.69,4.8691,0.9871
BPNN,Test,1500,0.9878,1.5851,1.279,1.1117,2.64,4.9424,0.9878
Random Forest,Test,1500,0.9805,2.0001,1.5732,1.2674,3.3,7.624,0.9805
XGBoost,Test,1500,0.9871,1.6272,1.3044,1.1087,2.71,5.4826,0.9871
Ensemble,Test,1500,0.9878,1.5849,1.2708,1.0749,2.65,5.1863,0.9878
