Feature,Test_Mean,Worst_Mean,Best_Mean,Z_Worst,Z_Best,Deviation_Dir
Teamwork,0.016,-0.383,-0.466,-0.4,-0.484,Normal
Motivation,0.024,-0.276,-0.433,-0.296,-0.452,Normal
Endurance 1500m,-0.035,0.255,0.34,0.289,0.374,Normal
Peer Collab,0.013,-0.258,-0.391,-0.268,-0.399,Normal
Goal Orientation,0.028,-0.23,-0.486,-0.253,-0.504,Normal
Skill Acquisition,0.024,-0.206,-0.146,-0.234,-0.172,Normal
BMI,0.006,0.207,-0.084,0.206,-0.092,Normal
Participation,0.028,-0.166,-0.246,-0.194,-0.273,Normal
Grade Level,0.005,-0.105,-0.642,-0.109,-0.636,Normal
Resilience,0.01,0.104,-0.264,0.094,-0.272,Normal
Communication,0.008,-0.08,-0.376,-0.091,-0.396,Normal
Coordination,0.033,0.093,-0.302,0.059,-0.334,Normal
Reaction Time,-0.033,0.026,0.158,0.058,0.188,Normal
Flexibility,0.057,0.111,-0.26,0.055,-0.316,Normal
Leadership,-0.011,-0.062,-0.311,-0.051,-0.301,Normal
Age,-0.002,0.046,-0.054,0.049,-0.053,Normal
Sprint 100m,-0.028,-0.078,0.177,-0.049,0.203,Normal
Stress Mgmt,0.017,0.043,-0.41,0.025,-0.423,Normal
Self-Confidence,0.023,0.042,-0.555,0.019,-0.585,Normal
Strength,0.027,0.032,-0.191,0.005,-0.22,Normal
Progress Index,0.015,0.015,-0.292,0.0,-0.31,Normal
